Component,Description,Manufacturer,MPN,Quantity,Unit Price USD,Total USD,Supplier,Supplier Link,Notes
STM32F103C8T6,STM32 Cortex-M3 72MHz 64KB Flash,STMicroelectronics,STM32F103C8T6,1,3.00,3.00,AliExpress,https://aliexpress.com,Blue Pill board
ST-Link V2,Programmer/Debugger for STM32,STMicroelectronics,ST-LINK/V2,1,3.00,3.00,AliExpress,https://aliexpress.com,Clone version OK
TB6600,Stepper Motor Driver 3A,Toshiba,TB6600HG,2,6.00,12.00,AliExpress,https://aliexpress.com,Module version
NEMA17,Stepper Motor 1.8° 40mm,Generic,NEMA17-40,2,8.00,16.00,Amazon,https://amazon.com,40mm length
L298N,Dual H-Bridge Motor Driver,STMicroelectronics,L298N,1,4.00,4.00,AliExpress,https://aliexpress.com,Module version
AS5600,Magnetic Rotary Encoder,AMS,AS5600-ASOM,1,5.00,5.00,AliExpress,https://aliexpress.com,SOIC-16 package
SN65HVD230,CAN Transceiver,Texas Instruments,SN65HVD230DR,1,2.00,2.00,AliExpress,https://aliexpress.com,SOIC-8 package
HM-10,Bluetooth 4.0 BLE Module,TI/CC2541,CC2541,1,3.00,3.00,AliExpress,https://aliexpress.com,Clone module
ACS712,Current Sensor 30A,Allegro,ACS712ELCTR-30A-T,3,3.00,9.00,AliExpress,https://aliexpress.com,Module version
Microswitch,Limit Switch Omron D2F,Omron,D2F-01FL,5,0.50,2.50,Local,,Subminiature
Potentiometer,10kΩ Linear Pot,Generic,B10K,1,0.30,0.30,Local,,Any brand
LM2596,DC-DC Buck Converter,Texas Instruments,LM2596S-ADJ,1,2.00,2.00,AliExpress,https://aliexpress.com,Module version
PowerSupply,12V 5A Power Supply,Generic,12V5A,1,15.00,15.00,Amazon,https://amazon.com,Any brand
Relay,12V 40A Automotive Relay,Bosch,0332209150,1,3.00,3.00,AutoZone,https://autozone.com,SPDT NO/NC
WiresConnectors,Assorted Wires & Connectors,Generic,MISC,1,20.00,20.00,Local,,JST/Dupont headers
Enclosure,IP65 Plastic Enclosure,Generic,IP65-150x100x60,1,12.00,12.00,Amazon,https://amazon.com,150x100x60mm
TOTAL,,,,,,111.80,,,